section_id	signature	n_genes_requested	n_genes_present	genes_present	mean_score	max_score	rank_within_section
S1_A1	sig_cTEC_like	5	5	CCL25;PRSS16;PSMB11;FOXN1;CTSV	0.636472	1.680695	1
S1_A1	sig_MHCII_AP	6	6	HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1;CD74;CIITA	0.60798	2.444857	2
S1_A1	sig_T_cell_thymocyte	8	8	CD3D;CD3E;TRAC;CD7;DNTT;RAG1;RAG2;PTCRA	0.532669	1.652793	3
S1_A1	sig_B_cell_APC	6	6	MS4A1;CD79A;CD79B;BANK1;CD74;HLA-DRA	0.414535	1.610171	4
S1_A1	sig_macrophage_APC	8	8	LYZ;CST3;LST1;C1QA;C1QB;C1QC;AIF1;CD68	0.228242	1.036298	5
S1_A1	sig_fibroblast	8	8	COL1A1;COL1A2;COL3A1;COL6A1;COL6A2;DCN;LUM;PTGDS	0.042265	1.912614	6
S1_A1	sig_mTEC_like	7	7	KRT5;KRT14;AIRE;FEZF2;CCL19;CALML5;S100A14	-0.007263	1.387046	7
S1_A1	sig_endothelial	6	6	PECAM1;VWF;RAMP2;ENG;TM4SF1;SPARCL1	-0.011772	0.962446	8
S1_A1	sig_activated_DC	5	5	CCR7;LAMP3;FSCN1;BIRC3;TNFAIP2	-0.012499	1.348743	9
S1_A1	sig_perivascular	6	6	MYL9;TAGLN;ACTA2;CALD1;RGS5;PDGFRB	-0.015789	0.833502	10
S1_A1	sig_pDC_APC	6	6	LILRA4;IL3RA;GZMB;PLD4;IRF7;JCHAIN	-0.033784	0.848182	11
S1_A1	sig_TEC	4	4	EPCAM;KRT8;KRT18;KRT19	-0.245737	0.750109	12
S1_B1	sig_MHCII_AP	6	6	HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1;CD74;CIITA	0.812351	2.343435	1
S1_B1	sig_B_cell_APC	6	6	MS4A1;CD79A;CD79B;BANK1;CD74;HLA-DRA	0.550278	1.747021	2
S1_B1	sig_cTEC_like	5	5	CCL25;PRSS16;PSMB11;FOXN1;CTSV	0.549418	1.574318	3
S1_B1	sig_T_cell_thymocyte	8	8	CD3D;CD3E;TRAC;CD7;DNTT;RAG1;RAG2;PTCRA	0.516481	1.398926	4
S1_B1	sig_macrophage_APC	8	8	LYZ;CST3;LST1;C1QA;C1QB;C1QC;AIF1;CD68	0.32112	1.411241	5
S1_B1	sig_mTEC_like	7	7	KRT5;KRT14;AIRE;FEZF2;CCL19;CALML5;S100A14	0.186156	1.496664	6
S1_B1	sig_fibroblast	8	8	COL1A1;COL1A2;COL3A1;COL6A1;COL6A2;DCN;LUM;PTGDS	0.114207	1.661442	7
S1_B1	sig_perivascular	6	6	MYL9;TAGLN;ACTA2;CALD1;RGS5;PDGFRB	0.012736	1.187958	8
S1_B1	sig_endothelial	6	6	PECAM1;VWF;RAMP2;ENG;TM4SF1;SPARCL1	-0.007543	1.481698	9
S1_B1	sig_pDC_APC	6	6	LILRA4;IL3RA;GZMB;PLD4;IRF7;JCHAIN	-0.028874	0.646137	10
S1_B1	sig_TEC	4	4	EPCAM;KRT8;KRT18;KRT19	-0.091714	0.970937	11
S1_B1	sig_activated_DC	5	5	CCR7;LAMP3;FSCN1;BIRC3;TNFAIP2	-0.104223	1.515834	12
S1_C1	sig_MHCII_AP	6	6	HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1;CD74;CIITA	0.880895	2.284679	1
S1_C1	sig_T_cell_thymocyte	8	8	CD3D;CD3E;TRAC;CD7;DNTT;RAG1;RAG2;PTCRA	0.632157	1.826588	2
S1_C1	sig_B_cell_APC	6	6	MS4A1;CD79A;CD79B;BANK1;CD74;HLA-DRA	0.5911	1.83633	3
S1_C1	sig_cTEC_like	5	5	CCL25;PRSS16;PSMB11;FOXN1;CTSV	0.544464	2.213906	4
S1_C1	sig_mTEC_like	7	7	KRT5;KRT14;AIRE;FEZF2;CCL19;CALML5;S100A14	0.185653	1.572633	5
S1_C1	sig_macrophage_APC	8	8	LYZ;CST3;LST1;C1QA;C1QB;C1QC;AIF1;CD68	0.155376	1.199228	6
S1_C1	sig_fibroblast	8	8	COL1A1;COL1A2;COL3A1;COL6A1;COL6A2;DCN;LUM;PTGDS	0.012281	1.495222	7
S1_C1	sig_endothelial	6	6	PECAM1;VWF;RAMP2;ENG;TM4SF1;SPARCL1	-0.00729	1.180972	8
S1_C1	sig_perivascular	6	6	MYL9;TAGLN;ACTA2;CALD1;RGS5;PDGFRB	-0.010773	1.023572	9
S1_C1	sig_TEC	4	4	EPCAM;KRT8;KRT18;KRT19	-0.013596	1.091054	10
S1_C1	sig_pDC_APC	6	6	LILRA4;IL3RA;GZMB;PLD4;IRF7;JCHAIN	-0.042487	0.894497	11
S1_C1	sig_activated_DC	5	5	CCR7;LAMP3;FSCN1;BIRC3;TNFAIP2	-0.25363	1.182798	12
S1_D1	sig_MHCII_AP	6	6	HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1;CD74;CIITA	0.833568	2.453704	1
S1_D1	sig_cTEC_like	5	5	CCL25;PRSS16;PSMB11;FOXN1;CTSV	0.631739	2.099933	2
S1_D1	sig_B_cell_APC	6	6	MS4A1;CD79A;CD79B;BANK1;CD74;HLA-DRA	0.589965	1.922112	3
S1_D1	sig_T_cell_thymocyte	8	8	CD3D;CD3E;TRAC;CD7;DNTT;RAG1;RAG2;PTCRA	0.538957	1.552097	4
S1_D1	sig_macrophage_APC	8	8	LYZ;CST3;LST1;C1QA;C1QB;C1QC;AIF1;CD68	0.219437	1.242097	5
S1_D1	sig_TEC	4	4	EPCAM;KRT8;KRT18;KRT19	0.082022	1.656104	6
S1_D1	sig_mTEC_like	7	7	KRT5;KRT14;AIRE;FEZF2;CCL19;CALML5;S100A14	0.041659	1.439669	7
S1_D1	sig_fibroblast	8	8	COL1A1;COL1A2;COL3A1;COL6A1;COL6A2;DCN;LUM;PTGDS	0.024408	0.838332	8
S1_D1	sig_pDC_APC	6	6	LILRA4;IL3RA;GZMB;PLD4;IRF7;JCHAIN	0.003569	0.860729	9
S1_D1	sig_perivascular	6	6	MYL9;TAGLN;ACTA2;CALD1;RGS5;PDGFRB	-0.015298	1.916175	10
S1_D1	sig_endothelial	6	6	PECAM1;VWF;RAMP2;ENG;TM4SF1;SPARCL1	-0.027746	0.784186	11
S1_D1	sig_activated_DC	5	5	CCR7;LAMP3;FSCN1;BIRC3;TNFAIP2	-0.085753	1.741785	12
S2_A1	sig_MHCII_AP	6	6	HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1;CD74;CIITA	0.814931	2.596558	1
S2_A1	sig_cTEC_like	5	5	CCL25;PRSS16;PSMB11;FOXN1;CTSV	0.69104	2.151409	2
S2_A1	sig_T_cell_thymocyte	8	8	CD3D;CD3E;TRAC;CD7;DNTT;RAG1;RAG2;PTCRA	0.521814	1.78355	3
S2_A1	sig_B_cell_APC	6	6	MS4A1;CD79A;CD79B;BANK1;CD74;HLA-DRA	0.484523	1.470251	4
S2_A1	sig_macrophage_APC	8	8	LYZ;CST3;LST1;C1QA;C1QB;C1QC;AIF1;CD68	0.274543	1.23165	5
S2_A1	sig_mTEC_like	7	7	KRT5;KRT14;AIRE;FEZF2;CCL19;CALML5;S100A14	0.163548	1.719661	6
S2_A1	sig_activated_DC	5	5	CCR7;LAMP3;FSCN1;BIRC3;TNFAIP2	0.033804	1.541235	7
S2_A1	sig_endothelial	6	6	PECAM1;VWF;RAMP2;ENG;TM4SF1;SPARCL1	0.003481	1.441387	8
S2_A1	sig_perivascular	6	6	MYL9;TAGLN;ACTA2;CALD1;RGS5;PDGFRB	-0.00643	1.411205	9
S2_A1	sig_pDC_APC	6	6	LILRA4;IL3RA;GZMB;PLD4;IRF7;JCHAIN	-0.033369	0.591081	10
S2_A1	sig_fibroblast	8	8	COL1A1;COL1A2;COL3A1;COL6A1;COL6A2;DCN;LUM;PTGDS	-0.10054	1.570028	11
S2_A1	sig_TEC	4	4	EPCAM;KRT8;KRT18;KRT19	-0.156283	1.517572	12
S2_B1	sig_MHCII_AP	6	6	HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1;CD74;CIITA	1.166483	2.5748	1
S2_B1	sig_B_cell_APC	6	6	MS4A1;CD79A;CD79B;BANK1;CD74;HLA-DRA	0.759315	1.779749	2
S2_B1	sig_T_cell_thymocyte	8	8	CD3D;CD3E;TRAC;CD7;DNTT;RAG1;RAG2;PTCRA	0.648156	1.978934	3
S2_B1	sig_cTEC_like	5	5	CCL25;PRSS16;PSMB11;FOXN1;CTSV	0.380437	2.303606	4
S2_B1	sig_mTEC_like	7	7	KRT5;KRT14;AIRE;FEZF2;CCL19;CALML5;S100A14	0.251202	1.442401	5
S2_B1	sig_macrophage_APC	8	8	LYZ;CST3;LST1;C1QA;C1QB;C1QC;AIF1;CD68	0.211543	1.257751	6
S2_B1	sig_perivascular	6	6	MYL9;TAGLN;ACTA2;CALD1;RGS5;PDGFRB	-0.000869	1.430179	7
S2_B1	sig_fibroblast	8	8	COL1A1;COL1A2;COL3A1;COL6A1;COL6A2;DCN;LUM;PTGDS	-0.004149	2.349952	8
S2_B1	sig_endothelial	6	6	PECAM1;VWF;RAMP2;ENG;TM4SF1;SPARCL1	-0.025837	1.217095	9
S2_B1	sig_pDC_APC	6	6	LILRA4;IL3RA;GZMB;PLD4;IRF7;JCHAIN	-0.137754	0.908025	10
S2_B1	sig_TEC	4	4	EPCAM;KRT8;KRT18;KRT19	-0.152599	0.877472	11
S2_B1	sig_activated_DC	5	5	CCR7;LAMP3;FSCN1;BIRC3;TNFAIP2	-0.193256	1.040017	12
S2_C1	sig_MHCII_AP	6	6	HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1;CD74;CIITA	0.98694	2.814716	1
S2_C1	sig_B_cell_APC	6	6	MS4A1;CD79A;CD79B;BANK1;CD74;HLA-DRA	0.573005	1.964051	2
S2_C1	sig_T_cell_thymocyte	8	8	CD3D;CD3E;TRAC;CD7;DNTT;RAG1;RAG2;PTCRA	0.513855	1.580356	3
S2_C1	sig_cTEC_like	5	5	CCL25;PRSS16;PSMB11;FOXN1;CTSV	0.488048	1.95392	4
S2_C1	sig_macrophage_APC	8	8	LYZ;CST3;LST1;C1QA;C1QB;C1QC;AIF1;CD68	0.159554	1.268572	5
S2_C1	sig_mTEC_like	7	7	KRT5;KRT14;AIRE;FEZF2;CCL19;CALML5;S100A14	0.117782	1.807636	6
S2_C1	sig_fibroblast	8	8	COL1A1;COL1A2;COL3A1;COL6A1;COL6A2;DCN;LUM;PTGDS	0.017327	1.838917	7
S2_C1	sig_pDC_APC	6	6	LILRA4;IL3RA;GZMB;PLD4;IRF7;JCHAIN	0.016043	1.140521	8
S2_C1	sig_endothelial	6	6	PECAM1;VWF;RAMP2;ENG;TM4SF1;SPARCL1	0.006773	2.015978	9
S2_C1	sig_perivascular	6	6	MYL9;TAGLN;ACTA2;CALD1;RGS5;PDGFRB	-0.007869	1.260467	10
S2_C1	sig_TEC	4	4	EPCAM;KRT8;KRT18;KRT19	-0.062418	1.665964	11
S2_C1	sig_activated_DC	5	5	CCR7;LAMP3;FSCN1;BIRC3;TNFAIP2	-0.172597	1.367961	12
S2_D1	sig_MHCII_AP	6	6	HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1;CD74;CIITA	0.793166	2.424675	1
S2_D1	sig_T_cell_thymocyte	8	8	CD3D;CD3E;TRAC;CD7;DNTT;RAG1;RAG2;PTCRA	0.570058	1.38021	2
S2_D1	sig_cTEC_like	5	5	CCL25;PRSS16;PSMB11;FOXN1;CTSV	0.568935	1.820848	3
S2_D1	sig_B_cell_APC	6	6	MS4A1;CD79A;CD79B;BANK1;CD74;HLA-DRA	0.514265	1.749385	4
S2_D1	sig_macrophage_APC	8	8	LYZ;CST3;LST1;C1QA;C1QB;C1QC;AIF1;CD68	0.242328	1.208408	5
S2_D1	sig_mTEC_like	7	7	KRT5;KRT14;AIRE;FEZF2;CCL19;CALML5;S100A14	0.094447	1.501137	6
S2_D1	sig_activated_DC	5	5	CCR7;LAMP3;FSCN1;BIRC3;TNFAIP2	0.071366	1.547723	7
S2_D1	sig_fibroblast	8	8	COL1A1;COL1A2;COL3A1;COL6A1;COL6A2;DCN;LUM;PTGDS	0.069772	1.749856	8
S2_D1	sig_pDC_APC	6	6	LILRA4;IL3RA;GZMB;PLD4;IRF7;JCHAIN	0.013878	0.769175	9
S2_D1	sig_perivascular	6	6	MYL9;TAGLN;ACTA2;CALD1;RGS5;PDGFRB	-0.005477	1.889024	10
S2_D1	sig_endothelial	6	6	PECAM1;VWF;RAMP2;ENG;TM4SF1;SPARCL1	-0.009365	1.460498	11
S2_D1	sig_TEC	4	4	EPCAM;KRT8;KRT18;KRT19	-0.037703	1.147496	12
